,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006070","Department:","Surveillance",,"Property:","CNS Halifax","Owner:","raj.chauhan",,"Location:","Count Room","Created By:","raj.chauhan","Sublocation:",,,,"Occurred:",07-Feb-2026   3:55 pm,"End Time:",07-Feb-2026  15:58,"Camera/Monitor:","MON 1-4","Status:","Open","Duration:","0 Days 0 Hours 3 Minutes","Topic:","Security Escort","Details:","SO Keith escorts Cage Sup Jack Palmer with NRT funds.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006071","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","raj.chauhan",,"Location:","Pit 1","Created By:","raj.chauhan","Sublocation:","FBB 1",,,"Occurred:",07-Feb-2026   4:13 pm,"End Time:",,"Camera/Monitor:","MON 1-4","Status:","Open","Duration:",,"Topic:","Observation","Details:","Observation: Dealers (Adam Forman, Zara Mohseni) on FBB1.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006074","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","pdellapinna",,"Location:","Parking Lot","Created By:","pdellapinna","Sublocation:",,,,"Occurred:",07-Feb-2026   4:17 pm,"End Time:",07-Feb-2026  16:22,"Camera/Monitor:","701-726","Status:","Open","Duration:","0 Days 0 Hours 5 Minutes","Topic:","Parkade Scan","Details:","Parkade Scan @ 16:17hrs.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006075","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","raj.chauhan",,"Location:","Poker Room","Created By:","raj.chauhan","Sublocation:","Poker 3",,,"Occurred:",07-Feb-2026   4:29 pm,"End Time:",,"Camera/Monitor:","MON 1-4","Status:","Open","Duration:",,"Topic:","Poker Royal Flush Jackpot","Details:","Poker Royal Flush Jackpot: PK3, Spot 4, diamonds, $3100 won by Dominic Giacomantonio. Footage saved to TG2026 - 21.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006076","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","pdellapinna",,"Location:","Gaming Floor","Created By:","pdellapinna","Sublocation:",,,,"Occurred:",07-Feb-2026   4:23 pm,"End Time:",07-Feb-2026  16:36,"Camera/Monitor:","MS1.1","Status:","Open","Duration:","0 Days 0 Hours 13 Minutes","Topic:","Pit Scan","Details:","ID shots @ 16:23hrs.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006077","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","raj.chauhan",,"Location:","Pit 1","Created By:","raj.chauhan","Sublocation:","FBB 1",,,"Occurred:",07-Feb-2026   4:48 pm,"End Time:",07-Feb-2026  16:50,"Camera/Monitor:","CAM 121","Status:","Open","Duration:","0 Days 0 Hours 2 Minutes","Topic:","FINTRAC","Details:","FINTRAC: Wing “Michael” Chan (PC: 244888) redeems $51 as points for cash on FBB1.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006080","Department:","Surveillance",,"Property:","CNS Halifax","Owner:","pdellapinna",,"Location:","Slot Zone","Created By:","pdellapinna","Sublocation:","Zone 9",,,"Occurred:",07-Feb-2026   5:02 pm,"End Time:",07-Feb-2026  17:05,"Camera/Monitor:","292","Status:","Open","Duration:","0 Days 0 Hours 3 Minutes","Topic:","BV Maintenance","Details:","09.02.05. Todd(ST), Keith(sec).","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006082","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","pdellapinna",,"Location:","Slot Zone","Created By:","pdellapinna","Sublocation:","Zone 2",,,"Occurred:",07-Feb-2026   5:13 pm,"End Time:",07-Feb-2026  17:19,"Camera/Monitor:","MS1.1","Status:","Open","Duration:","0 Days 0 Hours 6 Minutes","Topic:","Jackpot","Details:","Jackpot @ 02.15.08. $5216.35 won  by Ann Wile.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006083","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","pdellapinna",,"Location:","Pit 3","Created By:","pdellapinna","Sublocation:","BJ10",,,"Occurred:",07-Feb-2026   5:29 pm,"End Time:",07-Feb-2026  17:53,"Camera/Monitor:","40","Status:","Open","Duration:","0 Days 0 Hours 24 Minutes","Topic:","Observation","Details:","Observation of Dealers (Tim Moffatt/Jared Sampson) on BJ10.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006086","Department:","Surveillance",,"Property:","CNS Halifax","Owner:","pdellapinna",,"Location:","Pit 1","Created By:","pdellapinna","Sublocation:","UTH1",,,"Occurred:",07-Feb-2026   6:18 pm,"End Time:",07-Feb-2026  18:21,"Camera/Monitor:","MS1.1","Status:","Open","Duration:","0 Days 0 Hours 3 Minutes","Topic:","Table Fill","Details:","UTH1 - $6150.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
